,UserId,Reputation,Views,UpVotes,DownVotes,PostId,Score,ViewCount,CommentCount,no_posted,CommentBins
62525,23732,108,7,2,0,72668,0,30.0,2,2,Very Low
70738,29140,6,1,0,0,67372,1,128.0,4,1,Low
86985,48550,3,0,0,0,103775,0,96.0,1,1,Very Low
66755,26792,80,24,4,0,67043,1,104.0,1,8,Very Low
69196,28547,6,1,0,0,65801,1,406.0,4,1,Low
89837,54339,1,0,0,0,112484,0,20.0,0,1,Very Low
63541,24394,11,1,0,0,56190,1,523.0,4,2,Low
15724,1679,3536,382,164,8,33316,3,371.2173913043478,1,101,Very Low
38994,8451,3111,270,121,5,69985,0,343.1590909090909,1,115,Very Low
85012,45032,6,0,0,0,113228,1,15.0,0,1,Very Low
43308,10524,2384,163,55,20,71021,1,321.8620689655172,0,83,Very Low
76727,35753,510,18,14,0,91003,2,19.0,2,13,Very Low
49754,13138,3518,315,63,2,79770,1,41.53488372093023,0,142,Very Low
33698,7224,5430,1604,463,63,30627,3,497.5151515151515,0,115,Very Low
2593,183,22625,4069,2496,45,66207,2,219.5,0,493,Very Low
89494,53939,6,0,0,0,111621,1,35.0,1,1,Very Low
24611,4253,19585,6948,155,56,89443,4,97.5,0,450,Very Low
63881,24643,11,1,0,0,56785,0,49.0,0,2,Very Low
38761,8402,5564,1250,270,44,52680,3,336.0,0,206,Very Low
22087,3382,8009,3559,183,24,7896,2,34.78169014084507,0,425,Very Low
8005,686,44152,7357,2156,82,86272,1,203.22033898305085,0,1598,Very Low
4474,364,5442,671,115,2,12194,4,171.0,1,144,Very Low
59722,21167,86,11,1,0,111894,2,22.0,0,12,Very Low
16315,1764,7461,764,1264,8,68251,1,500.32142857142856,0,252,Very Low
17251,2074,1239,124,2,0,100184,2,505.84000000000003,0,42,Very Low
17218,2073,756,53,110,0,29871,2,231.33333333333334,0,17,Very Low
17954,2164,922,185,65,1,12020,0,98.0,2,48,Very Low
37250,8013,7972,662,108,6,29504,0,183.45454545454544,1,320,Very Low
65420,25811,18,0,0,0,63503,2,263.0,1,2,Very Low
44670,11032,22275,7395,2619,42,30515,2,918.2257053291536,1,966,Very Low
75994,35129,16,4,1,0,77340,0,171.0,1,2,Very Low
63848,24617,1320,344,198,12,62789,3,1277.2857142857142,0,52,Very Low
60279,21599,1888,286,1243,39,81233,0,157.37777777777774,0,154,Very Low
16684,1913,1175,98,65,0,18361,1,117.25,1,42,Very Low
33628,7224,5430,1604,463,63,18981,3,197.5,2,115,Very Low
37254,8013,7972,662,108,6,30812,2,212.75,0,320,Very Low
60423,21701,157,5,5,0,52035,0,771.0,1,6,Very Low
58755,20556,384,109,28,2,62921,5,434.0,5,31,Low
73450,31324,162,10,10,0,93117,3,87.0,2,9,Very Low
62923,23891,262,11,14,0,74545,1,157.0,0,13,Very Low
58233,20085,649,29,14,1,105042,1,38.0,4,19,Low
88646,52558,1,0,0,0,108883,0,34.0,1,1,Very Low
63579,24425,1,0,0,0,56256,0,28.0,3,1,Low
80656,40350,7,4,0,0,90480,0,80.0,0,3,Very Low
79807,38448,11,1,0,0,84287,2,70.0,1,1,Very Low
84457,44566,1,0,0,0,95440,0,5.0,1,1,Very Low
10025,805,65272,5680,7035,143,97121,3,29.83529411764706,3,1720,Low
52343,14646,190,10,67,0,73505,4,330.66666666666663,0,6,Very Low
21079,3019,8045,500,228,57,94025,2,250.10344827586206,0,132,Very Low
39998,8898,245,16,0,0,22102,0,177.63636363636363,0,9,Very Low
1450,88,14082,3320,4235,126,38499,2,971.9491525423729,2,339,Very Low
83447,43653,53,25,7,0,95854,0,95.0,32,19,Very High
78804,37313,142,13,6,0,100763,0,17.0,0,7,Very Low
33177,7071,7663,878,550,21,38356,3,386.8571428571429,0,274,Very Low
54275,16663,1062,51,48,2,111882,2,284.4,3,46,Low
33226,7071,7663,878,550,21,48949,3,287.8,2,274,Very Low
58736,20555,1,0,0,0,49421,0,31.0,2,1,Very Low
81238,40994,1,0,0,0,88098,0,12.0,0,1,Very Low
45380,11060,950,1289,156,1,108360,1,166.0,1,32,Very Low
29208,5729,414,67,15,5,13970,1,500.3333333333333,1,16,Very Low
80614,40294,13,4,0,0,92918,2,109.0,0,2,Very Low
17598,2116,18088,3899,3274,43,37568,4,499.0,1,363,Very Low
45246,11032,22275,7395,2619,42,37907,2,512.4,2,966,Very Low
53389,16067,125,5,8,0,46351,4,137.0,0,2,Very Low
39974,8871,425,45,0,0,108954,3,177.090909090909,1,32,Very Low
71253,29600,316,20,15,0,83858,-1,56.0,0,24,Very Low
63607,24467,1,0,0,0,56356,-1,282.25,1,1,Very Low
66066,26267,104,66,30,0,70133,1,13.0,2,22,Very Low
22290,3382,8009,3559,183,24,27491,0,87.67605633802816,0,425,Very Low
75727,34905,16,0,0,0,91713,3,105.0,1,1,Very Low
2339,183,22625,4069,2496,45,11222,3,634.3333333333334,0,493,Very Low
45987,11456,413,21,21,1,41945,3,428.1428571428571,0,10,Very Low
6236,603,10647,1225,683,49,2903,5,697.1428571428571,0,258,Very Low
59325,20959,11,1,0,0,107693,1,20.0,4,2,Low
50170,13380,11,1,0,0,82574,1,84.5,0,1,Very Low
4545,375,529,46,9,0,11216,5,276.2307692307692,1,6,Very Low
4537,368,369,18,5,0,26366,1,100.33333333333333,5,10,Low
83444,43653,53,25,7,0,95369,0,16.0,0,19,Very Low
13610,1036,8236,1305,11442,43,105068,5,691.5714285714286,5,187,Low
72196,30395,426,124,23,0,102897,2,105.5,3,20,Low
42376,10064,1097,111,226,2,46165,0,505.8,0,46,Very Low
58435,20306,1,0,0,0,48953,0,138.0,3,1,Low
81474,41281,18,2,3,0,88669,2,147.0,0,2,Very Low
41166,9394,9800,946,1273,54,55102,1,204.3125,0,227,Very Low
80061,39663,222,54,7,2,114723,1,15.0,0,15,Very Low
29607,5739,15236,2252,705,16,88743,2,175.96296296296296,3,397,Low
80078,39684,75,1,5,0,93040,0,60.0,1,4,Very Low
15233,1496,559,114,49,0,10829,3,283.0,0,26,Very Low
28786,5494,814,46,68,18,32500,1,359.6470588235294,1,32,Very Low
42064,9929,21,1,0,0,24835,0,58.0,0,3,Very Low
54131,16596,611,49,46,1,106029,4,148.33333333333334,2,29,Very Low
53178,15984,11,1,0,0,40514,2,601.0,10,1,Moderate
7532,686,44152,7357,2156,82,59041,2,137.46575342465752,0,1598,Very Low
61782,22314,273,18,22,0,95574,2,28.5,6,26,Moderate
5067,449,12813,1089,1607,57,4529,3,383.463503649635,1,260,Very Low
33066,7044,101,4,0,0,17512,-1,907.25,3,1,Low
73060,31073,81,8,0,0,71908,2,70.5,1,2,Very Low
28410,5372,83,23,2,0,32160,0,52.0,2,4,Very Low
56371,17700,6,0,0,0,45639,1,246.0,0,1,Very Low
75139,32398,191,17,9,0,82053,2,283.2,0,14,Very Low
51441,14137,52,8,7,0,76840,1,78.0,0,9,Very Low
29013,5574,138,18,1,0,35549,3,333.33333333333337,0,3,Very Low
53721,16297,2108,163,92,10,44706,0,618.1666666666666,0,48,Very Low
52345,14646,190,10,67,0,73570,1,260.5,1,6,Very Low
56737,17908,3559,206,88,1,108615,0,415.87012987012986,1,153,Very Low
32859,6961,2413,266,152,11,17668,1,1329.5,6,105,Moderate
49746,13138,3518,315,63,2,76076,1,32.41860465116279,0,142,Very Low
33829,7250,6216,338,625,56,44550,5,454.3076923076923,0,149,Very Low
15549,1586,139,7,32,0,54999,0,133.0,3,6,Low
6905,686,44152,7357,2156,82,23917,1,486.27272727272725,0,1598,Very Low
42072,9943,6,0,0,0,24851,0,301.0,2,1,Very Low
17400,2116,18088,3899,3274,43,6861,2,781.5,0,363,Very Low
85348,45516,15,1,0,0,97593,1,35.0,0,3,Very Low
10234,805,65272,5680,7035,143,108285,2,231.9505882352941,7,1720,Moderate
80836,40519,1,2,0,0,87217,0,42.0,1,3,Very Low
74559,32036,7227,991,2664,143,88667,1,324.4581280788177,2,269,Very Low
67975,27755,9,0,0,0,63636,1,116.0,2,1,Very Low
80189,39846,9,14,0,0,86074,0,31.363636363636363,4,1,Low
77486,36283,16,2,0,0,79852,3,111.0,4,1,Low
73556,31372,266,21,65,0,107579,2,105.0,0,17,Very Low
82110,42029,77,30,6,0,91802,0,83.0,0,11,Very Low
48352,12487,16,6,0,0,31929,3,667.0,2,1,Very Low
64184,24848,342,42,71,0,90218,2,101.0,3,12,Low
80128,39737,3,0,0,0,85889,0,165.0,2,1,Very Low
45268,11032,22275,7395,2619,42,38261,1,416.2,2,966,Very Low
